keyword,edited_text,is_euph,category,type,euph_status
dismissed,"Tyrion (Peter Dinklage ) wasn't exactly a hard-working guy when ""Thrones"" @ @ @ @ @ @ @ @ @ @ more and more responsibilities piled up on him, to the point where he hardly had time for bordellos and wine ( the horror! ). One of the most fascinating things about the HBO show is the way it's shown Tyrion-- who'd been underestimated and mostly <dismissed> by everyone ( including himself)-- realize that he not only was good at wielding power, he actually liked it. But it certainly cuts into a guy's recreational time, as courtiers Varys and Littlefinger could have told him. ",0,employment,dismissed,sometimes_euph
aging,"Acute health effects include burns and radiation sickness. Radiation sickness is also called' radiation poisoning.' It can cause premature <aging> or even death. If the dose is fatal, death usually occurs within two months. ",1,physical/mental attributes,aging,sometimes_euph
late,"And in a stark warning, Hunt warned that it may be ""too <late>"" to prevent the UK following the same trajectory as Italy, which has recorded a death toll over over 6,000 to date, but he said the lockdown measures introduced by Boris Johnson shortly afterwards were the only ones which gave Britain ""any chance at all of doing so."" ",0,death,late,sometimes_euph
elderly,"Yet his memories live on in those fortunate enough to have known him along the way. His loved ones also show the rest of us how <elderly> family members should be treated in the autumn of their lives. ""He had a good life-- he was very easygoing, optimistic,"" said his son, a former Air Force captain who flew fixed-wing aircraft in Vietnam. ",1,physical/mental attributes,elderly,always_euph
expecting,"We're <expecting> our second any day now (c'm on, kiddo!). Our first was a boy, and now we're going to have a girl-- so one of each! ",1,physical/mental attributes,expecting,sometimes_euph
between jobs,"The more new people you meet, the more your chances of finding out about a great job increases. Then if you hear back from multiple places, you'll have choices and who wouldn't want to be able to choose <between jobs> rather than grasping at the first one that comes along. ",0,employment,between jobs,sometimes_euph
freedom fighter,"I always find answers to our world problems in history and that is when I read books written by historians such as you. And yes I am an Iranian <freedom fighter> a friend of peace, a friend of freedom, liberty, advancement and entrepreneurship like the kinds ushered upon me and millions @ @ @ @ @ @ @ @ @ @ socialism, Islamism, PC world view, big governments, elitism, authoritarianism, MSM, and the garbage propaganda indoctrinated onto our todays' youth in schools and colleges these days.... My list can go on but...",1,politics,freedom fighter,always_euph
weed,"Gone are the good old days when you could smack the snot out of kids and they had to ""respect"" their elders. At your age maybe you could just smoke a little <weed> and chill. All the references to hippies demonstrates not only a lack of understanding re the influence of main stream media charactrizations but of the times in which you live. ",1,substances,weed,sometimes_euph
lay off,"might be to <lay off> this blog, other blogs, and cable news for awhile. There are lots of other things out there to handle, be involved with, and that are vastly more energizing and satisfying. ",0,employment,lay off,sometimes_euph
detention camp,"Perhaps, then, candidate Obama @ @ @ @ @ @ @ @ @ @ Pres. George W. Bush shredded the Constitution, but leaving that question aside for now, let us consider how Pres. Obama has fared in undoing the Bush policies he opposed He began dramatically in January 2009 by issuing a series of executive orders. According to one, Guantanamo Bay <detention camp> was to be closed within a year. Even though the rjrincipal planner of Sept 11, Khalid Sheikh Mohammed, or KSM, had announced that he would plead guilty before a military tribunal at Guantanamo, the Justice Department announced in November 2009 that the military commission was cancelled. ",1,politics,detention camp,always_euph
custodian,"Foster @ @ @ @ @ @ @ @ @ @ of an Indian child from his or her home, for placement in a foster home or institution, when the parent or Indian <custodian> (defined as an Indian person with custody of the child under tribal or state law or who has the child pursuant to a parental placement) can not regain custody upon demand (25 U.S.C. 1903(1)). The latter provision exempts ICWA application from voluntary religious or school placements, as well as voluntary placements with private or public agencies where the parent or custodian can regain custody at any time.",0,employment,custodian,sometimes_euph
mentally disabled,"Few battles are truly worth fighting. Stand up for those who can not stand up for themselves (the elderly, children, <mentally disabled>, etc.) Be wary of those who appear to enjoy bickering. If someone @ @ @ @ @ @ @ @ @ @ completely or, once you have completely calmed down and are thinking clearly, explain how you perceived his or her actions and work towards a resolution. ",1,physical/mental attributes,mentally disabled,always_euph
aging,"It is time mainstream Christians disassociated themselves from these homicidal extremists, as they ultimately did from the KKK. It is time to strip this political group of it's tax exempt status and add them on the political watch list of Homeland Security as the homegrown hate group they have become, before they do @ @ @ @ @ @ @ @ @ @ also very clear that none of those people realized that Reagan had agreed to swap parts for their <aging> F-4's for the hostages, once he was president. A lot of folks tend to forget that little bit of not so classified history. ",0,physical/mental attributes,aging,sometimes_euph
low-income,"If they make less money they have less opportunity to BECOME skilled. Tell me, geniuses of the Right Wing, how is a guy with a high school education supposed to ever break out of the <low-income> bracket when he can't afford to go to school to get better educated? ",1,employment,low-income,always_euph
less fortunate,"""We are here to spur a different kind of spirit in Bridgeport, "" Kevin Muhammad said through a loudspeaker outside of the Margaret @ @ @ @ @ @ @ @ @ @, "" that we no longer walk by people who are homeless, that we no longer walk by those who are <less fortunate>.... We want to make sure that the city administration understands that we should pay more attention to these people."" ",1,employment,less fortunate,always_euph
deceased,"Osiris's principle function as the god of the dead was to judge the soul of the <deceased>. If that soul were found to be pure and sinless, it would be admitted into the realms of bliss; if it were to be found in any way weighted with sin or crime, it was thrown to Amenti, a horrid god with the face of a crocodile, the front of a leopard, and the back of a rhinoceros, who would consume the soul in its frightening jaws. ",1,death,deceased,always_euph
detainees,"2. (S/NF ) With respect to interrogation, MG @ @ @ @ @ @ @ @ @ @ detention guard force subordinate to the Joint Interrogation Debriefing Center ( JIDC ) Commander that ""sets the conditions for the successful interrogation and exploitation of internees/<detainees>. "" Regarding Detention Operations, MG Miller's team stated that the function of Detention Operations is to provide a safe, secure, and humane environment that supports the expeditious collection of intelligence. However, it also stated "" it is essential that the guard force be actively engaged in setting the conditions for successful exploitation of the internees."" ( ANNEX 20) ",1,politics,detainee,always_euph
dismissed,"It wouldn't be surprising for McGwire to come home ( he grew up in L.A. County @ @ @ @ @ @ @ @ @ @. As soon as the Angels <dismissed> Mickey Hatcher as hitting coach last spring, I wondered whether they would contact McGwire this offseason. He's made it no secret he'd like to be closer to his family in Orange County. ",1,employment,dismissed,sometimes_euph
